threads,comp_max_s_avg,speedup,efficiency
1,109.292151,1.0000,1.0000
2,58.767685,1.8597,0.9299
4,47.621763,2.2950,0.5738
8,46.698268,2.3404,0.2925
16,40.584502,2.6930,0.1683
32,20.366332,5.3663,0.1677
64,10.259286,10.6530,0.1665
96,6.842002,15.9737,0.1664
128,5.149897,21.2222,0.1658
