threads,rep,elapsed_s,comp_max_s,comp_avg_s,comm_max_s,comm_avg_s
1,1,315.934537,315.659549,315.659549,0.274893,0.274893
1,2,310.026942,309.791113,309.791113,0.235682,0.235682
2,1,163.374266,163.149492,163.149492,0.224632,0.224632
2,2,163.934930,163.694656,163.694656,0.240135,0.240135
4,1,88.755341,88.525174,88.525174,0.230045,0.230045
4,2,88.909434,88.679075,88.679075,0.230228,0.230228
8,1,63.320990,63.051586,63.051586,0.269281,0.269281
8,2,63.287162,63.019304,63.019304,0.267737,0.267737
16,1,44.166745,43.868328,43.868328,0.298301,0.298301
16,2,44.201945,43.904561,43.904561,0.297267,0.297267
32,1,22.353682,22.008115,22.008115,0.345469,0.345469
32,2,22.243164,21.918232,21.918232,0.324802,0.324802
64,1,11.395930,11.051608,11.051608,0.344183,0.344183
64,2,11.388896,11.042749,11.042749,0.346010,0.346010
96,1,7.858102,7.430104,7.430104,0.427896,0.427896
96,2,7.816749,7.399011,7.399011,0.417631,0.417631
128,1,6.056385,5.600256,5.600256,0.456024,0.456024
128,2,6.038397,5.583465,5.583465,0.454807,0.454807
