threads,comp_max_s_avg,speedup,efficiency
1,312.725331,1.0000,1.0000
2,163.422074,1.9136,0.9568
4,88.602125,3.5295,0.8824
8,63.035445,4.9611,0.6201
16,43.886444,7.1258,0.4454
32,21.963173,14.2386,0.4450
64,11.047179,28.3082,0.4423
96,7.414557,42.1772,0.4393
128,5.591861,55.9251,0.4369
